id,web_name,team,element_type,now_cost,total_points,form,ict_index,influence,creativity,threat,minutes,expected_goals,expected_assists,expected_goal_involvements,saves,clean_sheets,next_3_gw_fixtures
127,I.Osman,5,3,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
128,Igor,5,2,4.3,17,0.0,22.7,182.2,40.5,4.0,900,0.05,0.23,0.28,0,1,3.3333333333333335
129,João Pedro,5,4,5.6,114,1.3,144.4,487.4,378.3,585.0,1796,7.21,2.66,9.87,0,6,3.3333333333333335
130,Kozlowski,5,3,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
131,Lamptey,5,2,4.4,40,0.0,33.6,192.0,95.1,48.0,762,0.38,0.53,0.91,0,2,3.3333333333333335
132,March,5,3,6.5,3,0.0,4.7,15.6,25.3,6.0,55,0.07,0.14,0.21,0,0,3.3333333333333335
133,Mazilu,5,3,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
134,Milner,5,3,5.0,5,0.0,10.7,28.6,66.3,12.0,169,0.16,0.15,0.31,0,1,3.3333333333333335
135,Minteh,5,3,5.0,81,2.3,123.9,440.0,342.4,454.0,1328,3.31,3.93,7.24,0,3,3.3333333333333335
136,Mitoma,5,3,6.5,122,1.7,183.1,540.0,539.6,749.0,2464,7.56,3.71,11.27,0,6,3.3333333333333335
137,Moder,5,3,4.4,4,0.0,5.4,15.8,36.0,2.0,9,0.00,0.53,0.53,0,0,3.3333333333333335
138,O’Mahony,5,4,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
139,Offiah,5,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
140,Peupion,5,3,4.4,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
141,Sarmiento,5,3,4.9,1,0.0,0.1,0.2,0.8,0.0,8,0.00,0.00,0.00,0,0,3.3333333333333335
142,Steele,5,1,4.0,9,0.0,4.1,40.4,0.0,0.0,180,0.00,0.00,0.00,3,1,3.3333333333333335
143,Undav,5,4,5.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
144,Van Hecke,5,2,4.5,76,0.0,103.8,642.4,226.6,168.0,2510,1.24,1.28,2.52,0,6,3.3333333333333335
145,Veltman,5,2,4.3,58,0.0,47.4,269.2,143.8,59.0,1642,0.47,1.29,1.76,0,6,3.3333333333333335
146,Verbruggen,5,1,4.5,84,0.7,67.0,659.6,10.0,0.0,2610,0.00,0.01,0.01,69,6,3.3333333333333335
147,Webster,5,2,4.3,26,0.3,22.7,155.8,41.2,31.0,615,0.02,0.21,0.23,0,3,3.3333333333333335
148,Welbeck,5,4,5.5,101,3.3,115.7,418.2,232.1,506.0,1590,7.19,1.15,8.34,0,6,3.3333333333333335
149,Wieffer,5,3,4.7,32,0.7,35.0,166.6,126.3,61.0,502,0.57,0.37,0.94,0,1,3.3333333333333335
595,Gruda,5,3,5.4,22,1.3,35.2,86.8,160.0,106.0,481,0.27,0.60,0.87,0,1,3.3333333333333335
600,Ayari,5,3,5.0,50,1.3,88.1,249.0,413.6,219.0,1536,2.19,2.13,4.32,0,6,3.3333333333333335
601,Moran,5,3,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
615,Rushworth,5,1,3.9,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
618,Georginio,5,3,5.1,95,1.7,103.0,355.4,281.8,404.0,1651,4.57,1.67,6.24,0,6,3.3333333333333335
628,F.Kadıoğlu,5,2,4.4,19,0.0,24.0,116.4,83.7,40.0,385,0.44,0.31,0.75,0,2,3.3333333333333335
629,O'Riley,5,3,5.5,28,1.0,40.6,131.0,163.3,113.0,536,1.15,1.27,2.42,0,2,3.3333333333333335
663,Samuels,5,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
668,Cahill,5,1,3.9,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
681,McConville,5,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
685,Slater,5,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
714,Gómez,5,3,5.5,13,2.0,17.9,67.0,96.1,15.0,393,0.32,0.75,1.07,0,0,3.3333333333333335
739,Hürzeler,5,5,1.1,55,2.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
758,Knight,5,3,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
